NOMEDEP;DE;MUN;CD_IBGE;DISTR;COD_ESC;CODESCMEC;NOMESC;CODSIT;TIPOESC;ENDESC;NUMESC;COMPLEMENTO;CEP;BAIESC;ZONA;DS_LATITUDE;DS_LONGITUDE;CODVINC
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;30806;35030806;HELEN KELLER;1;8;MARIO OLIVERO;122;RUA;17800000;VILA CICMA;1;-21,69298935;-51,06887817;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;31045;35031045;DURVALINO GRION PROF;1;8;NOEMIA RAMAZINI DE OLIVEIRA;36;RUA;17800000;VILA INDUSTRIAL;1;-21,67860031;-51,07690048;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;31112;35031112;FLEURIDES CAVALLINI MENECHINO PROFA;1;8;VITORIO ROMANINI;99;RUA;17800000;VILA CICMA;1;-21,69277;-51,0703392;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;985429;35985429;CEL JTO A EE FLEURIDES CAVALINI MENECHINO PROFA;1;6;VITORIO ROMANINI;99;RUA;17800000;VILA CICMA;1;-21,69190025;-51,07099915;31112
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31252;35031252;JULIETA GUEDES MENDONCA PROFA;1;8;PRINCESA ISABEL;440;RUA;17900251;VILA BARROS;1;-21,49352646;-51,53807068;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31264;35031264;9 DE JULHO;1;8;OITO DEZEMBRO;719;RUA;17911254;JARDIM VERA CRUZ;1;-21,48950386;-51,52497864;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31276;35031276;ISAC PEREIRA GARCEZ ENG;1;8;VENDRAMIM;92;RUA;17900057;CENTRO;1;-21,48463058;-51,53142166;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;457899;35457899;PENITENCIARIA ASP ADRIANO APARECIDO DE PIERI DE DRACENA;1;15;ENGENHEIRO BYRON DE AZEVEDO NOGUEIRA;KM 09;VICINAL DRACENA OURO VERDE;17900900;JAMAICA;2;-21,49557304;-51,63319397;31252
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;458090;35458090;CEL JTO A EE ENGENHEIRO ISAC PEREIRA GARCEZ;1;6;VENDRAMIM;92;;17900000;;1;-21,48459053;-51,53144073;31276
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;911173;35911173;ALFREDO MACHADO;1;8;OTO LARA RESENDE;21;RUA;17904160;BAIRRO JARDIM BRASILANDIA;1;-21,49081039;-51,55389023;0
ESTADUAL - SE;ADAMANTINA;FLORA RICA;3515806;FLORA RICA;30995;35030995;GUILHERME BUZINARO PREFEITO;1;8;VEREADOR RAIMUNDO ANTONIO DE ARAUJO;416;AVENIDA;17870000;CENTRO;1;-21,67638206;-51,38249969;0
ESTADUAL - SE;ADAMANTINA;FLORIDA PAULISTA;3516002;FLORIDA PAULISTA;30910;35030910;PERCIO GOMES GONZALES DR;1;8;AUGUSTO ROQUE;1254;AVENIDA;17830000;CENTRO;1;-21,61310387;-51,1681366;0
ESTADUAL - SE;ADAMANTINA;FLORIDA PAULISTA;3516002;FLORIDA PAULISTA;455337;35455337;PENITENCIARIA AEVP CRISTIANO DE OLIVEIRA DE FLORIDA PAULISTA;1;15;KIICHIRO HATTORI;SN;KM 6;17830000;AGRELO;2;-21,66110039;-51,20587158;30910
ESTADUAL - SE;ADAMANTINA;INUBIA PAULISTA;3520806;INUBIA PAULISTA;31598;35031598;IRALDO ANTONIO MARTINS DE TOLEDO;1;8;PEDRO ANTONIO GOMES;502;RUA;17760000;CENTRO;1;-21,76921654;-50,96021652;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;30958;35030958;JOSE EDSON MOYSES PROF;1;8;ALBERTO GALETI;29;AVENIDA;17880000;CENTRO;1;-21,56727028;-51,35471725;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;354569;35354569;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU I CIP;1;9;MUNICIPAL;3;IRV KM 6;17880000;PATURY;2;-21,52055508;-51,31761074;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;354570;35354570;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU II CI;1;34;MUNICIPAL;3;IRV KM 6;17880000;PATURY;2;-21,52063492;-51,31709576;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;448370;35448370;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLES IRAPURU I  CI;1;34;MUNICIPAL  IRV;3;KM 6;17880000;PATURY;2;-21,5206262;-51,31715115;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;455064;35455064;PENITENCIARIA DE IRAPURU;1;15;MUNICIPAL IRAPURU;125;KM 35;17880000;PATURI;2;-21,54578582;-51,32294472;30958
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;31306;35031306;GERALDO PECORARI PROF;1;8;DUQUE DE CAXIAS;151;PRACA;17890000;CENTRO;1;-21,5152607;-51,43960953;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;31525;35031525;IDENE RODRIGUES DOS SANTOS PROF;1;8;AVENIDA CAMPOS SALLES;899;;17890000;CENTRO;1;-21,51210594;-51,42825317;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;454345;35454345;PENITENCIARIA DE JUNQUEIROPOLIS;1;15;ALMIRANTE JOAO RIBEIRO DE BARROS;SN;KM 6382 VICINAL ALCIDES CANOLA KM 2;17890000;;2;-21,47952461;-51,44407654;31525
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;30788;35030788;JOSE FIRPO;1;8;INTERNACIONAL;1270;RUA;17780000;CENTRO;1;-21,72732925;-51,01414108;0
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;453870;35453870;PENITENCIARIA DE LUCELIA;1;15;MILTOM LENTINI;SN;KM 12;17780000;RURAL;2;-21,61466026;-50,98077011;30788
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;578915;35578915;PROFESSOR CARLOS UMBERTO CARRARA;1;8;ANTONIO CHAVARELI;1077;AVENIDA;17780000;VILA RANCHARIA;1;-21,73122978;-51,01271057;0
ESTADUAL - SE;ADAMANTINA;MARIAPOLIS;3528908;MARIAPOLIS;30892;35030892;ELMOZA ANTONIO JOAO PROFA;1;8;RUY BARBOSA;134;RUA;17810000;CENTRO;1;-21,7944;-51,1867;0
ESTADUAL - SE;ADAMANTINA;MONTE CASTELO;3531605;MONTE CASTELO;31471;35031471;JOAO BERNARDI;1;8;CIRO ALVES LEAO;71;;17960000;CENTRO;1;-21,29660034;-51,56760025;0
ESTADUAL - SE;ADAMANTINA;NOVA GUATAPORANGA;3533106;NOVA GUATAPORANGA;31422;35031422;JACINTO PERNAS GOMATO;1;8;D PEDRO I;50;RUA;17950000;CENTRO;1;-21,33423996;-51,6482811;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31574;35031574;BENJAMIN CONSTANT;1;8;MAX WIRTH;550;RUA;17700000;CENTRO;1;-21,79324913;-50,87559891;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31616;35031616;OSVALDO MARTINS;1;8;RUA EXPEDICIONARIO OCTAVIO PONTELLI;39;RUA;17700126;VILA ANA;1;-21,80102158;-50,87059402;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31636;35031636;DOM BOSCO;1;8;LUCAS NOGUEIRA GARCEZ;571;;17700000;CENTRO;1;-21,79635048;-50,87863922;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;454400;35454400;PENITENCIARIA COMPACTA DE OSVALDO CRUZ;1;15;ARMANDO SALLES;SN;KM 5725;17700000;CENTRO;2;-21,76641083;-50,90082169;922584
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;573139;35573139;PENITENCIARIA DE OSVALDO CRUZ SEMIABERTO;1;15;COMANDANTE JOAO RIBEIRO BARROS;SN;KM 572;17700000;VENDA BRANCA;2;-21,76641083;-50,90082169;922584
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;922584;35922584;MARIA APARECIDA LOPES PROFA;1;8;DIRCEU CAVALINI;100;RUA;17700000;RESIDENCIAL ATHENAS;1;-21,76594925;-50,90082932;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;985430;35985430;CEL JTO A EE OSVALDO MARTINS;1;6;OCTAVIO PONTELLI;39;RUA;17700000;VILA ANA;1;-21,80074116;-50,87097429;31616
ESTADUAL - SE;ADAMANTINA;OURO VERDE;3534807;OURO VERDE;31446;35031446;FERDINANDO IENNY;1;8;RIO DE JANEIRO;892;RUA;17920000;CENTRO;1;-21,48555374;-51,70223618;0
ESTADUAL - SE;ADAMANTINA;PACAEMBU;3534906;PACAEMBU;7000;35007000;CENTRO DE DETENCAO PROVISORIA I DE PACAEMBU;1;15;KOUITIRO SATO;SN;KM 07;17860000;VILA OLIMPIA;2;-21,54408073;-51,25778961;31069
ESTADUAL - SE;ADAMANTINA;PACAEMBU;3534906;PACAEMBU;7001;35007001;CENTRO DE DETENCAO PROVISORIA II DE PACAEMBU;1;15;KOUTTIRO SATO;SN;KM 7;17860000;VILA OLIMPIA;2;-21,49002457;-51,26772308;31069
ESTADUAL - SE;ADAMANTINA;PACAEMBU;3534906;PACAEMBU;31069;35031069;JOEL AGUIAR PROF;1;8;RUA CORYPHEU DE AZEVEDO MARQUES;1154;AVENIDA;17862012;VILA PERES;1;-21,56507301;-51,26673126;0
ESTADUAL - SE;ADAMANTINA;PACAEMBU;3534906;PACAEMBU;457929;35457929;PENITENCIARIA OZIAS LUCIO DOS SANTOS;1;15;ROD COMANDANTE JOAO RIBEIRO DE BARROS;KM 615;AVENIDA;17860000;SAO SIMAO;2;-21,56259918;-51,24489975;31069
ESTADUAL - SE;ADAMANTINA;PACAEMBU;3534906;PACAEMBU;462706;35462706;CENTRO DE PROGRESSAO PENITENCIARIA DE PACAEMBU;1;15;ROD COMANDANTE JOAO RIBEIRO DE BARROS;SN;KM 615;17860000;SAO SIMAO;2;-21,5574;-51,2404;31069
ESTADUAL - SE;ADAMANTINA;PANORAMA;3535408;PANORAMA;31159;35031159;LUCIO ANTUNES DOM;1;8;PEGE RAPOSO LOPES;612;RUA;17980000;CENTRO;1;-21,3689003;-51,86100006;0
ESTADUAL - SE;ADAMANTINA;PANORAMA;3535408;PANORAMA;31458;35031458;JOAO BRASIO;1;8;PAULO DE ARRUDA MENDES;2597;RUA;17980000;MARRECAS;1;-21,35540009;-51,85089874;0
ESTADUAL - SE;ADAMANTINA;PAULICEIA;3536406;PAULICEIA;31355;35031355;ORLANDO GUIRADO BRAGA PROF;1;8;PAULISTA;SN;AVENIDA;17990000;CENTRO;1;-21,31752205;-51,82229614;0
ESTADUAL - SE;ADAMANTINA;PRACINHA;3540853;PRACINHA;30831;35030831;TAIEKA TAKAHASHI GIMENES PROFA;1;8;COSTA AGUIAR;233;RUA;17790000;CENTRO;1;-21,85218048;-51,08919144;0
ESTADUAL - SE;ADAMANTINA;PRACINHA;3540853;PRACINHA;455155;35455155;PENITENCIARIA DE PRACINHA;1;15;VICINAL GERALDO RISSATO;SN;KM 16;17790000;ZONA RURAL;2;-21,84490013;-51,0802002;30831
ESTADUAL - SE;ADAMANTINA;SAGRES;3544707;SAGRES;31550;35031550;WALDOMIRO SAMPAIO DE SOUZA PREFEITO;1;8;VEREADOR GERALDO TEODORO DE CARVALHO;156;RUA;17710000;CENTRO;1;-21,8831749;-50,95986176;0
ESTADUAL - SE;ADAMANTINA;SALMOURAO;3545100;SALMOURAO;31549;35031549;HANS WIRTH;1;8;BARTOLOMEU BUENO;420;;17720000;CENTRO;1;-21,62418938;-50,85786819;0
ESTADUAL - SE;ADAMANTINA;SANTA MERCEDES;3547106;SANTA MERCEDES;31297;35031297;OSCAR PEDROSO HORTA MINISTRO;1;8;ALIPIO BEDAQUE;1392;;17940000;CENTRO;1;-21,35286522;-51,75198746;0
ESTADUAL - SE;ADAMANTINA;SAO JOAO DO PAU D'ALHO;3549300;SAO JOAO DO PAU D'ALHO;31461;35031461;SALVADOR RAMOS DE MOURA PROF;1;8;JOSE ANTONIO SANCHES;468;;17970000;CENTRO;1;-21,26685905;-51,66640091;0
ESTADUAL - SE;ADAMANTINA;TUPI PAULISTA;3555109;TUPI PAULISTA;31513;35031513;LEA APARECIDA VIEIRA GUEDES;1;8;TIRADENTES;852;RUA;17930000;CENTRO;1;-21,38578987;-51,57555389;0
ESTADUAL - SE;ADAMANTINA;TUPI PAULISTA;3555109;TUPI PAULISTA;455349;35455349;PENITENCIARIA VANDERLEI TARTARI MONTEIRO DE TUPI PAULISTA;1;15;COMANDANTE JOAO RIBEIRO DE BARROS;SN;KM 6678;17930000;GUARACIABA;2;-21,38260078;-51,67998886;31513
ESTADUAL - SE;ADAMANTINA;TUPI PAULISTA;3555109;TUPI PAULISTA;459636;35459636;PENITENCIARIA FEMININA DE TUPI PAULISTA;1;15;COMENDADOR JOAO RIBEIRO DE BARROS;SN;SP 294  KM 6678;17930000;GUARACIABA;2;-21,37750053;-51,68009949;31422
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;11873;35011873;LUIZ HIPOLITO PROFESSOR;1;8;JOAO BATISTA BAZANELLI;SN;RUA;13469305;VILA DAINESE;1;-22,72488976;-47,36172104;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;16949;35016949;OCTAVIO SOARES DE ARRUDA PROF;1;8;TURUNAS;158;RUA;13466185;BRIEDS;1;-22,75839996;-47,32460022;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;16950;35016950;RISOLETA LOPES ARANHA PROFESSORA;1;8;TREZE DE MAIO;471;RUA;13471030;JARDIM SAO DOMINGOS;1;-22,73283005;-47,34095001;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;16962;35016962;SILVINO JOSE DE OLIVEIRA PROF;1;8;MIGUEL COUTO PROFESSOR;716;RUA;13472450;VILA CORDENONSI;1;-22,7262001;-47,3219986;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;16974;35016974;SAO VICENTE DE PAULO;1;8;DOM BARRETO;1001;RUA;13465720;PARAISO;1;-22,74044991;-47,34246826;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;16998;35016998;ALCINDO SOARES DO NASCIMENTO PROF;1;8;DINAMARCA;531;RUA;13471600;JARDIM PAULISTANO;1;-22,72529984;-47,33769989;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17139;35017139;MARIA JOSE DE MATTOS GOBBO PROFA;1;8;COELHO NETO;650;RUA;13469140;VILA AMORIM;1;-22,73839951;-47,35359955;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17140;35017140;MARIO PATARRA FRATTINI PROF;1;8;PERNAMBUCO;353;RUA;13478570;VILA NOSSA SENHORA DE FATIMA;1;-22,73929977;-47,32220078;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17152;35017152;MAURA ARRUDA GUIDOLIN PROFA;1;8;DIONISIO RODRIGUES DA SILVA;650;RUA;13477120;CAMPO LIMPO;1;-22,73303986;-47,30503845;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17164;35017164;JOAO DE CASTRO GONCALVES DR;1;8;TIBIRICA;449;RUA;13466044;CONSERVA;1;-22,74817085;-47,32371902;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17176;35017176;MAGI MONSENHOR;1;8;SALGUEIROS;495;RUA;13468080;JARDIM SAO PAULO;1;-22,75671959;-47,33821106;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17188;35017188;ARY MENEGATTO PROF;1;8;SANTA TEREZA;156;RUA;13473090;VILA BELVEDERE;1;-22,72897911;-47,30311966;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17197;35017197;DELMIRA DE OLIVEIRA LOPES PROFA;1;8;NARCISOS;130;RUA;13467340;VILA MATHIESEN;1;-22,76774025;-47,33095932;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17206;35017206;HEITOR PENTEADO DR;1;8;PROFESSORES;40;RUA;13465060;CENTRO;1;-22,74420929;-47,33079147;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17218;35017218;DILECTA CENEVIVA MARTINELLI PROFA;1;8;ORQUIDEAS;214;RUA;13467080;CIDADE JARDIM II;1;-22,76169968;-47,33750153;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17224;35017224;JOAO XXIII;1;8;CAXIAS DUQUE;550;RUA;13466320;VILA SANTA CATARINA;1;-22,75048256;-47,32845306;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17322;35017322;JOAO SOLIDARIO PEDROSO PROF;1;8;SANTO ONOFRE;275;RUA;13472250;SAO MANOEL;1;-22,72809982;-47,31570053;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17334;35017334;OLYMPIA BARTH DE OLIVEIRA PROFA;1;8;ITAPEMIRIM;149;RUA;13468480;JARDIM IPIRANGA;1;-22,74754906;-47,35533905;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;17346;35017346;GERMANO BENENCASE MAESTRO;1;8;ASTEROIDES;224;RUA;13479140;JARDIM ALVORADA;1;-22,75830078;-47,30709839;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;37928;35037928;SINESIA MARTINI PROFA;1;8;GERONIMO SANTON;33;RUA;13476680;SAO BENEDITO;1;-22,74098015;-47,24132156;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;39846;35039846;ANTONIO ZANAGA PREFEITO;1;8;CANDIDO PORTINARI;801;AVENIDA;13474590;ANTONIO ZANAGA I;1;-22,70343018;-47,29256058;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;42473;35042473;CONSTANTINO AUGUSTO PINKE PROF;1;8;HUMBERTO CASAGRANDE;565;RUA;13477530;SAO LUIZ;1;-22,74150085;-47,29980087;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;42481;35042481;MARCELINO TOMBI PROF;1;8;SOLIMOES;780;RUA;13469410;JARDIM SAO ROQUE;1;-22,72990036;-47,35400009;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;45500;35045500;CLARICE COSTA CONTI PROFA;1;8;MARIA CAVALCANTE PROENCA;99;RUA;13474530;ANTONIO ZANAGA;1;-22,70237923;-47,29961014;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;47004;35047004;HYLDA PARDO DE OLIVEIRA PROFA;1;8;ARTHUR VAZ LIMA;134;RUA;13475404;RECANTO JATOBA;1;-22,70882988;-47,27500153;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;49897;35049897;BENTO PENTEADO DOS SANTOS PROF;1;8;SOLANO TRINDADE;135;RUA;13474446;ANTONIO ZANAGA II;1;-22,7066803;-47,29914856;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;435442;35435442;MARIA FRIZZARIN PROFA;1;8;UDINE;120;RUA;13478866;JARDIM MIRANDOLA;1;-22,74834061;-47,28300095;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;435454;35435454;MARIA DO CARMO AUGUSTI PROFA;1;8;CYRA DE OLIVEIRA PETRIN;585;RUA;13469786;JARDIM MARIO COVAS;1;-22,7052002;-47,36849976;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;453201;35453201;AEVP RENATO GONCALVES RODRIGUES CENTRO DENT PROV;1;15;RUA DOUTOR ANIBAL TANGANELLI JUNIOR 335;335;;13473900;SALTO GRANDE;1;-22,70433998;-47,31898117;17176
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;578563;35578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;1;8;COMENDADOR THOMAZ FORTUNATO;2550;AVENIDA;13475010;CHACARA LETONIA;1;-22,72336006;-47,2824707;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;578575;35578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;1;8;GLORIA;171;RUA;13477722;JARDIM BOER I;1;-22,74257088;-47,28765106;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;578587;35578587;PROFESSORA ORNELLA RITA FERRARI SACILOTTO;1;8;GUARUJA;1609;RUA;13467708;PARQUE UNIVERSITARIO;1;-22,78126907;-47,34955978;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;903760;35903760;ANTONIETA GHIZINI LENHARE PROFA;1;8;ANGELA CAROLINA CAMPARI PACE;199;RUA;13468810;JARDIM BRASILIA;1;-22,76409912;-47,3606987;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;903772;35903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;1;8;ALFREDO SPINOLA DE MELLO;200;RUA;13469570;PARQUE GRAMADO;1;-22,72057915;-47,36214066;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;907285;35907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;1;8;JANUARIO FERRARO;270;RUA;13474180;JARDIM BRASIL;1;-22,71371078;-47,29375076;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;907297;35907297;IDALINA GRANDIN MIRANDOLA PROFA;1;8;AGENOR FAION;691;RUA;13473510;VILA BERTINI;1;-22,72019958;-47,29940033;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;918854;35918854;ANNA PERES DA SILVA PROFESSORA;1;8;VICENZO SARDELLI;220;RUA;13476055;JARDIM AMERICA;1;-22,7507;-47,25600052;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;921567;35921567;WILSON CAMARGO PROF;1;8;FLORINDO CIBIN;3424;RUA;13470070;PARQUE DAS NACOES;1;-22,7248;-47,349;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;922183;35922183;SEBASTIANA PAIE RODELLA PROFA;1;8;SERRA DA CANASTRA;SN;RUA;13470434;PARQUE LIBERDADE;1;-22,7112999;-47,3540802;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;925883;35925883;MARTINHO RUBENS BELLUCO PROFESSOR;1;8;ARISTODEMO ARDITO;550;RUA;13476681;SAO BENEDITO;1;-22,74365044;-47,23989868;0
ESTADUAL - SE;AMERICANA;AMERICANA;3501608;AMERICANA;980055;35980055;CEEJA ALDA MARANGONI FRANCA PROFA;1;3;RIACHUELO;700;RUA;13466290;VILA SANTA CATARINA;1;-22,75160027;-47,32849884;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;17309;35017309;JOAO THIENNE DR;1;8;INDEPENDENCIA;500;;13380025;CENTRO;1;-22,78194046;-47,29602814;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;39810;35039810;DORTI ZAMBELLO CALIL PROFA;1;8;DOUTOR ERNESTO SPROGIS;1261;;13385086;JARDIM SANTA ROSA;1;-22,79110909;-47,29911041;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;49906;35049906;SILVANIA APARECIDA SANTOS PROFA;1;8;IRINEU JOSE BORDON;S/N;;13387692;RESIDENCIAL SANTA LUIZA II;1;-22,77585983;-47,2828598;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;497733;35497733;GERALDO DE OLIVEIRA;1;8;OSCAR ARAIUM;;;13386130;JARDIM MONTE DAS OLIVEIRAS;1;-22,80894089;-47,30646133;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;903784;35903784;ALEXANDRE BASSORA;1;8;PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA;377;;13380196;JARDIM PLANALTO;1;-22,77749062;-47,30389023;0
ESTADUAL - SE;AMERICANA;NOVA ODESSA;3533403;NOVA ODESSA;905574;35905574;JOAQUIM RODRIGUES AZENHA DR;1;8;PASCOAL PICONI;399;;13386036;JARDIM SAO MANOEL;1;-22,80195999;-47,30249023;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;16986;35016986;JUVELINA DE OLIVEIRA RODRIGUES PROFA;1;8;JOSE ALEX DE BARROS;86;RUA;13456034;JARDIM PAULISTA;1;-22,76108932;-47,4040184;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17000;35017000;INOCENCIO MAIA PROF;1;8;JOAO LINO;525;RUA;13450033;CENTRO;1;-22,75559998;-47,41630173;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17012;35017012;JOSE GABRIEL DE OLIVEIRA;1;8;CILLO;67;AVENIDA;13450041;CENTRO;1;-22,75390053;-47,41239929;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17059;35017059;MARIA GUILHERMINA LOPES FAGUNDES PROFA;1;8;CARLOS CHAGAS;253;RUA;13450455;VILA LINOPOLIS I;1;-22,76210022;-47,42229843;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17061;35017061;ULISSES DE OLIVEIRA VALENTE PROF;1;8;PRUDENTE DE MORAES;222;RUA;13450048;CENTRO;1;-22,75230026;-47,41490173;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17073;35017073;LUIZ ALVES CEL;1;8;ANCHIETA PADRE;173;RUA;13451036;VILA SIQUEIRA CAMPOS;1;-22,74920082;-47,42449951;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17085;35017085;ANTONIO DE ARRUDA RIBEIRO PROF;1;8;AMADOR BUENO DE CAMPOS;52;RUA;13453010;JARDIM INDUSTRIAL;1;-22,74629974;-47,40940094;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17115;35017115;ELISABETH STEAGALL PIRTOUSCHEG PROFA;1;8;IRIDIO;275;RUA;13456500;VILA MOLLON IV;1;-22,7534008;-47,36320114;0
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;3545803;SANTA BARBARA D'OESTE;17231;35017231;EMILIO ROMI COMENDADOR;1;8;DONA CAROLINA;11;;13450515;JARDIM PANAMBI;1;-22,75460052;-47,42559814;0
